Sl_No,District,Market,Commodity,Variety,Grade,Min_Price_Rs,Max_Price_Rs,Modal_Price_Rs,Date
297,Ratlam,A lot,Wheat,Medium,FAQ,2256,2333,2290,2023-07-30
293,Ratlam,A lot,Wheat,Medium,FAQ,2200,2649,2300,2023-07-31
1980,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2300,2700,2500,2023-07-31
3720,Ratlam,Sailana,Wheat,Other,FAQ,2200,2500,2500,2023-07-31
3709,Ratlam,Sailana,Wheat,Other,FAQ,2141,3125,2416,2023-08-01
299,Ratlam,A lot,Wheat,Medium,FAQ,2272,2591,2330,2023-08-01
1028,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2350,3121,2400,2023-08-01
2019,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2370,2940,2560,2023-08-01
1040,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,3001,2500,2023-08-02
3730,Ratlam,Sailana,Wheat,Other,FAQ,2237,3190,3190,2023-08-02
2055,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2453,2891,2550,2023-08-02
2021,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2371,3101,2565,2023-08-03
294,Ratlam,A lot,Wheat,Medium,FAQ,2251,2575,2404,2023-08-03
3661,Ratlam,Sailana,Wheat,Other,FAQ,2001,2736,2736,2023-08-03
1046,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,3111,2500,2023-08-04
262,Ratlam,A lot,Wheat,Medium,FAQ,2007,2671,2390,2023-08-04
1997,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2335,3052,2510,2023-08-04
308,Ratlam,A lot,Wheat,Medium,FAQ,2321,2470,2400,2023-08-05
2014,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2361,2915,2545,2023-08-05
1016,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2250,3181,2400,2023-08-05
1984,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2300,2800,2500,2023-08-06
2013,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2361,2843,2515,2023-08-07
310,Ratlam,A lot,Wheat,Medium,FAQ,2331,2600,2417,2023-08-07
3658,Ratlam,Sailana,Wheat,Other,FAQ,2000,3081,2880,2023-08-07
3662,Ratlam,Sailana,Wheat,Other,FAQ,2010,3131,2641,2023-08-08
311,Ratlam,A lot,Wheat,Medium,FAQ,2348,2716,2406,2023-08-08
1022,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2300,3200,2500,2023-08-08
2008,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2354,2966,2530,2023-08-08
2007,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2353,2846,2550,2023-08-09
303,Ratlam,A lot,Wheat,Medium,FAQ,2300,2535,2400,2023-08-09
3690,Ratlam,Sailana,Wheat,Other,FAQ,2100,2300,2125,2023-08-09
2001,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2345,2890,2535,2023-08-10
302,Ratlam,A lot,Wheat,Medium,FAQ,2300,2503,2410,2023-08-10
3565,Ratlam,Sailana,Wheat,Other,FAQ,1560,3061,2850,2023-08-10
1992,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2315,2840,2490,2023-08-11
3731,Ratlam,Sailana,Wheat,Other,FAQ,2250,2972,2600,2023-08-11
278,Ratlam,A lot,Wheat,Medium,FAQ,2101,2442,2365,2023-08-11
1036,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2406,3170,2500,2023-08-11
279,Ratlam,A lot,Wheat,Medium,FAQ,2101,2442,2365,2023-08-12
1981,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2300,2750,2490,2023-08-12
3775,Ratlam,Sailana,Wheat,Other,FAQ,2500,2500,2500,2023-08-12
1990,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2315,2750,2500,2023-08-13
3791,Ratlam,Sailana,Wheat,Other,FAQ,2561,2621,2621,2023-08-14
4641,Ratlam,Taal,Wheat,Other,FAQ,2100,2710,2405,2023-08-14
290,Ratlam,A lot,Wheat,Medium,FAQ,2200,2462,2385,2023-08-14
291,Ratlam,A lot,Wheat,Medium,FAQ,2200,2462,2385,2023-08-15
4651,Ratlam,Taal,Wheat,Other,FAQ,2222,2222,2222,2023-08-15
2002,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2346,2901,2560,2023-08-16
292,Ratlam,A lot,Wheat,Medium,FAQ,2200,2484,2395,2023-08-16
3700,Ratlam,Sailana,Wheat,Other,FAQ,2100,4551,2691,2023-08-17
4434,Ratlam,Taal,Wheat,Medium,FAQ,2150,2474,2312,2023-08-17
2015,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2363,2920,2550,2023-08-17
298,Ratlam,A lot,Wheat,Medium,FAQ,2272,2558,2382,2023-08-17
1030,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2350,3150,2500,2023-08-17
3628,Ratlam,Sailana,Wheat,Other,FAQ,1950,3076,3050,2023-08-18
1027,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2350,3050,2500,2023-08-18
2000,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2341,2901,2555,2023-08-18
4436,Ratlam,Taal,Wheat,Medium,FAQ,2150,2811,2480,2023-08-18
304,Ratlam,A lot,Wheat,Medium,FAQ,2301,2454,2404,2023-08-18
2734,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3001,3500,3300,2023-08-18
3666,Ratlam,Sailana,Wheat,Other,FAQ,2021,3036,2400,2023-08-19
2009,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2355,3030,2560,2023-08-19
1037,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2411,3100,2500,2023-08-19
2005,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2350,2800,2510,2023-08-21
309,Ratlam,A lot,Wheat,Medium,FAQ,2325,2450,2375,2023-08-21
1026,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2350,3031,2500,2023-08-22
4435,Ratlam,Taal,Wheat,Medium,FAQ,2150,2610,2360,2023-08-22
2012,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2360,3066,2530,2023-08-22
3770,Ratlam,Sailana,Wheat,Other,FAQ,2450,2500,2500,2023-08-22
1041,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,3051,2600,2023-08-23
2057,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2456,2830,2570,2023-08-23
280,Ratlam,A lot,Wheat,Medium,FAQ,2101,2552,2365,2023-08-23
4440,Ratlam,Taal,Wheat,Medium,FAQ,2300,2721,2420,2023-08-24
3725,Ratlam,Sailana,Wheat,Other,FAQ,2205,2300,2300,2023-08-24
301,Ratlam,A lot,Wheat,Medium,FAQ,2300,2502,2372,2023-08-24
1033,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2400,3100,2600,2023-08-24
2020,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2371,2925,2550,2023-08-24
1029,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2350,3121,2600,2023-08-25
305,Ratlam,A lot,Wheat,Medium,FAQ,2311,2556,2400,2023-08-25
2016,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2365,2902,2565,2023-08-25
3609,Ratlam,Sailana,Wheat,Other,FAQ,1890,2980,2920,2023-08-25
4437,Ratlam,Taal,Wheat,Medium,FAQ,2170,2758,2450,2023-08-25
1985,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2300,2800,2500,2023-08-26
306,Ratlam,A lot,Wheat,Medium,FAQ,2311,2556,2400,2023-08-26
3776,Ratlam,Sailana,Wheat,Other,FAQ,2500,2500,2500,2023-08-26
2023,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2390,2790,2500,2023-08-27
307,Ratlam,A lot,Wheat,Medium,FAQ,2311,2556,2400,2023-08-27
2006,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2350,2800,2510,2023-08-28
323,Ratlam,A lot,Wheat,Medium,FAQ,2352,2471,2425,2023-08-28
1018,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2300,2450,2400,2023-08-28
3733,Ratlam,Sailana,Wheat,Other,FAQ,2260,3000,2500,2023-08-28
2018,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2370,2900,2560,2023-08-29
1987,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2300,2800,2500,2023-08-30
1032,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2400,2800,2500,2023-08-31
4585,Ratlam,Taal,Wheat,Other,FAQ,1850,2700,2200,2023-08-31
2010,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2358,2830,2545,2023-08-31
324,Ratlam,A lot,Wheat,Medium,FAQ,2352,2481,2381,2023-08-31
2017,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2367,3014,2570,2023-09-01
1021,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2300,3172,2400,2023-09-01
328,Ratlam,A lot,Wheat,Medium,FAQ,2363,2601,2392,2023-09-01
2024,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2390,2881,2580,2023-09-02
331,Ratlam,A lot,Wheat,Medium,FAQ,2380,2651,2424,2023-09-02
2004,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2350,2750,2550,2023-09-03
332,Ratlam,A lot,Wheat,Medium,FAQ,2380,2651,2424,2023-09-03
312,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,2023-09-04
1982,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2300,2750,2500,2023-09-04
313,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,2023-09-05
3760,Ratlam,Sailana,Wheat,Other,FAQ,2400,2400,2400,2023-09-05
1989,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2310,2800,2510,2023-09-05
314,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,2023-09-06
1983,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2300,2790,2510,2023-09-06
3719,Ratlam,Sailana,Wheat,Other,FAQ,2200,2350,2350,2023-09-07
1998,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2340,2780,2530,2023-09-08
315,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,2023-09-08
3783,Ratlam,Sailana,Wheat,Other,FAQ,2525,2611,2611,2023-09-08
2003,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2350,2750,2500,2023-09-09
316,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,2023-09-09
1994,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2320,2750,2550,2023-09-10
317,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,2023-09-10
3708,Ratlam,Sailana,Wheat,Other,FAQ,2125,2500,2500,2023-09-11
1979,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2300,2700,2500,2023-09-11
318,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,2023-09-11
3784,Ratlam,Sailana,Wheat,Other,FAQ,2550,2600,2600,2023-09-12
1065,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,3121,2600,2023-09-12
319,Ratlam,A lot,Wheat,Medium,FAQ,2350,2350,2350,2023-09-12
3744,Ratlam,Sailana,Wheat,Other,FAQ,2320,3000,2699,2023-09-13
1996,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2325,2800,2540,2023-09-13
1034,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2400,3141,2600,2023-09-13
1097,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2580,3203,2600,2023-09-14
1988,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2310,2750,2550,2023-09-14
3734,Ratlam,Sailana,Wheat,Other,FAQ,2263,2750,2700,2023-09-14
347,Ratlam,A lot,Wheat,Medium,FAQ,2425,2521,2500,2023-09-14
340,Ratlam,A lot,Wheat,Medium,FAQ,2400,2800,2485,2023-09-15
1993,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2318,2810,2545,2023-09-15
1048,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,3200,2600,2023-09-15
1995,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2320,2780,2540,2023-09-16
2042,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2436,3050,2600,2023-09-22
3723,Ratlam,Sailana,Wheat,Other,FAQ,2200,3030,2530,2023-09-22
330,Ratlam,A lot,Wheat,Medium,FAQ,2380,2578,2471,2023-09-22
1011,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2200,3200,2600,2023-09-22
2028,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2400,2900,2600,2023-09-23
1020,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2300,3150,2700,2023-09-25
321,Ratlam,A lot,Wheat,Medium,FAQ,2350,2600,2450,2023-09-25
2048,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2441,3040,2625,2023-09-25
327,Ratlam,A lot,Wheat,Medium,FAQ,2353,2632,2461,2023-09-26
2043,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2437,3080,2610,2023-09-26
1083,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2550,3233,2600,2023-09-26
2038,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2428,3040,2630,2023-09-27
1047,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,3200,2500,2023-09-27
325,Ratlam,A lot,Wheat,Medium,FAQ,2353,2506,2456,2023-09-28
3803,Ratlam,Sailana,Wheat,Other,FAQ,2936,2936,2936,2023-09-28
1039,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,2450,2450,2023-09-28
326,Ratlam,A lot,Wheat,Medium,FAQ,2353,2506,2456,2023-09-29
2036,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2427,3001,2655,2023-09-30
2032,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2415,3080,2680,2023-10-03
4407,Ratlam,Taal,Wheat,Medium,FAQ,1800,2600,2222,2023-10-03
1053,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2451,3199,2600,2023-10-03
3782,Ratlam,Sailana,Wheat,Other,FAQ,2500,3040,2500,2023-10-04
2049,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2445,3180,2675,2023-10-04
2047,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2440,3130,2680,2023-10-05
3678,Ratlam,Sailana,Wheat,Other,FAQ,2051,3046,2880,2023-10-05
1089,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2555,3265,2700,2023-10-05
2039,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2430,3130,2660,2023-10-06
1045,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,3100,2700,2023-10-06
329,Ratlam,A lot,Wheat,Medium,FAQ,2375,2435,2401,2023-10-06
2030,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2412,3200,2670,2023-10-07
1035,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2400,3215,2700,2023-10-07
320,Ratlam,A lot,Wheat,Medium,FAQ,2350,2561,2405,2023-10-08
3718,Ratlam,Sailana,Wheat,Other,FAQ,2200,2300,2200,2023-10-08
2050,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2448,3256,2685,2023-10-09
322,Ratlam,A lot,Wheat,Medium,FAQ,2350,2662,2426,2023-10-09
4648,Ratlam,Taal,Wheat,Other,FAQ,2200,2775,2550,2023-10-09
1073,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2540,3250,2600,2023-10-09
2037,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2427,3170,2660,2023-10-10
334,Ratlam,A lot,Wheat,Medium,FAQ,2390,2680,2480,2023-10-10
3714,Ratlam,Sailana,Wheat,Other,FAQ,2175,3099,3050,2023-10-10
1114,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2681,3212,2700,2023-10-10
3769,Ratlam,Sailana,Wheat,Other,FAQ,2442,3300,3136,2023-10-11
2063,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2470,3215,2660,2023-10-11
1108,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2610,3290,2650,2023-10-11
4649,Ratlam,Taal,Wheat,Other,FAQ,2200,2860,2500,2023-10-11
4677,Ratlam,Taal,Wheat,Other,FAQ,2400,2889,2510,2023-10-12
2041,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2433,3232,2690,2023-10-12
348,Ratlam,A lot,Wheat,Medium,FAQ,2425,2676,2528,2023-10-12
1112,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2680,3360,2700,2023-10-12
338,Ratlam,A lot,Wheat,Medium,FAQ,2400,2627,2505,2023-10-13
1113,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2680,3360,2700,2023-10-13
2749,Ratlam,Ratlam,Wheat,Sharbati,FAQ,4400,4400,4400,2023-10-13
3749,Ratlam,Sailana,Wheat,Other,FAQ,2350,3126,2871,2023-10-13
2034,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2423,3275,2675,2023-10-13
4695,Ratlam,Taal,Wheat,Other,FAQ,4100,4850,4444,2023-10-13
339,Ratlam,A lot,Wheat,Medium,FAQ,2400,2627,2505,2023-10-14
3717,Ratlam,Sailana,Wheat,Other,FAQ,2200,2200,2200,2023-10-14
3761,Ratlam,Sailana,Wheat,Other,FAQ,2400,2421,2421,2023-10-15
300,Ratlam,A lot,Wheat,Medium,FAQ,2300,2400,2350,2023-10-15
3741,Ratlam,Sailana,Wheat,Other,FAQ,2300,3250,2750,2023-10-16
2084,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2520,3160,2790,2023-10-16
1074,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2541,3165,2600,2023-10-16
2746,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3497,4030,3680,2023-10-16
4683,Ratlam,Taal,Wheat,Other,FAQ,2450,2810,2550,2023-10-17
2068,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2480,3268,2640,2023-10-17
3645,Ratlam,Sailana,Wheat,Other,FAQ,1999,3181,2800,2023-10-17
1093,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2560,3350,2600,2023-10-17
3646,Ratlam,Sailana,Wheat,Other,FAQ,1999,3221,3150,2023-10-18
1092,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2560,3344,2600,2023-10-18
2739,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3240,3750,3465,2023-10-18
2067,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2480,3251,2710,2023-10-18
4652,Ratlam,Taal,Wheat,Other,FAQ,2222,2900,2550,2023-10-18
1103,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2600,3240,2800,2023-10-19
3745,Ratlam,Sailana,Wheat,Other,FAQ,2335,3280,2790,2023-10-19
367,Ratlam,A lot,Wheat,Medium,FAQ,2491,3000,2660,2023-10-20
1054,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2454,3233,2500,2023-10-20
3738,Ratlam,Sailana,Wheat,Other,FAQ,2300,3000,2700,2023-10-20
2045,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2438,3137,2730,2023-10-21
387,Ratlam,A lot,Wheat,Medium,FAQ,2552,2701,2603,2023-10-21
3762,Ratlam,Sailana,Wheat,Other,FAQ,2400,2500,2500,2023-10-24
3764,Ratlam,Sailana,Wheat,Other,FAQ,2400,2871,2680,2023-10-25
377,Ratlam,A lot,Wheat,Medium,FAQ,2501,2836,2611,2023-10-25
2748,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3800,3800,3800,2023-10-25
1068,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,3240,2600,2023-10-25
4665,Ratlam,Taal,Wheat,Other,FAQ,2345,3151,2748,2023-10-25
2093,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2538,3266,2740,2023-10-25
1096,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2575,3200,2600,2023-10-26
2098,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2543,3290,2760,2023-10-26
2743,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3349,3750,3500,2023-10-26
3750,Ratlam,Sailana,Wheat,Other,FAQ,2350,3270,2810,2023-10-26
4654,Ratlam,Taal,Wheat,Other,FAQ,2222,3100,2550,2023-10-26
354,Ratlam,A lot,Wheat,Medium,FAQ,2450,2751,2652,2023-10-26
2744,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3349,3750,3500,2023-10-27
2085,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2520,3240,2750,2023-10-27
1091,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2560,3331,2800,2023-10-27
3722,Ratlam,Sailana,Wheat,Other,FAQ,2200,2901,2641,2023-10-27
360,Ratlam,A lot,Wheat,Medium,FAQ,2470,2624,2575,2023-10-27
3799,Ratlam,Sailana,Wheat,Other,FAQ,2701,2701,2701,2023-10-28
162,Ratlam,A lot,Wheat,Medium,FAQ,1500,2500,2200,2023-10-29
3771,Ratlam,Sailana,Wheat,Other,FAQ,2450,3250,2780,2023-10-30
355,Ratlam,A lot,Wheat,Medium,FAQ,2450,3000,2560,2023-10-30
1106,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2600,3400,2700,2023-10-30
2738,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3220,3721,3490,2023-10-31
4454,Ratlam,Taal,Wheat,Medium,FAQ,2500,3100,2700,2023-10-31
365,Ratlam,A lot,Wheat,Medium,FAQ,2490,2701,2626,2023-10-31
3608,Ratlam,Sailana,Wheat,Other,FAQ,1885,3299,3080,2023-10-31
1088,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2551,3264,2600,2023-10-31
2092,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2537,3271,2755,2023-10-31
2103,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2550,3301,2760,2023-11-01
3766,Ratlam,Sailana,Wheat,Other,FAQ,2405,3399,2890,2023-11-01
353,Ratlam,A lot,Wheat,Medium,FAQ,2450,2700,2500,2023-11-01
1095,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2570,3396,2600,2023-11-01
3768,Ratlam,Sailana,Wheat,Other,FAQ,2420,3250,2799,2023-11-02
2742,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3300,3970,3500,2023-11-02
2108,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2560,3260,2765,2023-11-02
2105,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2555,3190,2740,2023-11-03
4452,Ratlam,Taal,Wheat,Medium,FAQ,2480,3000,2740,2023-11-03
1064,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,3100,2600,2023-11-03
3605,Ratlam,Sailana,Wheat,Other,FAQ,1880,3300,2500,2023-11-03
364,Ratlam,A lot,Wheat,Medium,FAQ,2480,2650,2580,2023-11-03
2733,Ratlam,Ratlam,Wheat,Sharbati,FAQ,2995,3800,3450,2023-11-03
361,Ratlam,A lot,Wheat,Medium,FAQ,2473,2780,2611,2023-11-04
1090,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2560,3242,2600,2023-11-04
2100,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2546,3210,2720,2023-11-04
3754,Ratlam,Sailana,Wheat,Other,FAQ,2380,3130,2690,2023-11-04
4462,Ratlam,Taal,Wheat,Medium,FAQ,2570,2970,2770,2023-11-04
362,Ratlam,A lot,Wheat,Medium,FAQ,2473,2780,2611,2023-11-05
4457,Ratlam,Taal,Wheat,Medium,FAQ,2510,3000,2755,2023-11-06
374,Ratlam,A lot,Wheat,Medium,FAQ,2500,2752,2572,2023-11-06
1067,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,3221,2600,2023-11-06
2083,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2519,3300,2755,2023-11-06
3664,Ratlam,Sailana,Wheat,Other,FAQ,2020,2790,2700,2023-11-06
1086,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2550,3411,2600,2023-11-07
4456,Ratlam,Taal,Wheat,Medium,FAQ,2510,2980,2780,2023-11-07
2087,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2523,3250,2715,2023-11-07
4441,Ratlam,Taal,Wheat,Medium,FAQ,2310,2800,2555,2023-11-08
3802,Ratlam,Sailana,Wheat,Other,FAQ,2850,2900,2900,2023-11-08
2089,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2529,3200,2760,2023-11-08
4664,Ratlam,Taal,Wheat,Other,FAQ,2340,2880,2610,2023-11-09
4449,Ratlam,Taal,Wheat,Medium,FAQ,2450,2861,2655,2023-11-18
384,Ratlam,A lot,Wheat,Medium,FAQ,2551,2563,2563,2023-11-18
363,Ratlam,A lot,Wheat,Medium,FAQ,2475,2600,2552,2023-11-20
2054,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2450,4005,2650,2023-11-20
4684,Ratlam,Taal,Wheat,Other,FAQ,2450,2875,2675,2023-11-20
3682,Ratlam,Sailana,Wheat,Other,FAQ,2065,3651,2600,2023-11-20
1119,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2700,3390,2800,2023-11-20
2090,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2530,3191,2745,2023-11-21
1109,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2650,3450,2800,2023-11-21
2745,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3378,3830,3431,2023-11-21
352,Ratlam,A lot,Wheat,Medium,FAQ,2450,2670,2560,2023-11-22
1070,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2510,3325,2800,2023-11-22
3649,Ratlam,Sailana,Wheat,Other,FAQ,2000,2656,2656,2023-11-22
2106,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2557,3201,2750,2023-11-22
1111,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2670,3355,2800,2023-11-23
351,Ratlam,A lot,Wheat,Medium,FAQ,2441,2725,2570,2023-11-23
2066,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2476,3190,2730,2023-11-23
3659,Ratlam,Sailana,Wheat,Other,FAQ,2000,3590,3590,2023-11-23
4687,Ratlam,Taal,Wheat,Other,FAQ,2470,2872,2675,2023-11-23
2069,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2481,3340,2735,2023-11-24
343,Ratlam,A lot,Wheat,Medium,FAQ,2404,2540,2500,2023-11-24
3675,Ratlam,Sailana,Wheat,Other,FAQ,2050,3500,3500,2023-11-24
344,Ratlam,A lot,Wheat,Medium,FAQ,2404,2540,2511,2023-11-25
3763,Ratlam,Sailana,Wheat,Other,FAQ,2400,2500,2500,2023-11-26
3674,Ratlam,Sailana,Wheat,Other,FAQ,2050,3232,2691,2023-11-28
356,Ratlam,A lot,Wheat,Medium,FAQ,2452,2810,2651,2023-11-28
2079,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2510,3140,2730,2023-11-28
