"Min,Max,Modal Price from Madhya Pradesh,Ratlam[Wheat] from 01-Jan-2023To29-Aug-2025 (Total-5016) (Total-5016)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1300,Ratlam,Jaora,Wheat,Lokwan,FAQ,2561,3200,3080,28-Aug-24
1301,Ratlam,Jaora,Wheat,Lokwan,FAQ,2571,3051,2735,02-Aug-25
1302,Ratlam,Jaora,Wheat,Lokwan,FAQ,2577,2577,2577,09-Mar-24
1303,Ratlam,Jaora,Wheat,Lokwan,FAQ,2580,2966,2732,12-Aug-25
1304,Ratlam,Jaora,Wheat,Lokwan,FAQ,2580,2996,2726,24-Jul-25
1305,Ratlam,Jaora,Wheat,Lokwan,FAQ,2581,2581,2581,17-May-25
1306,Ratlam,Jaora,Wheat,Lokwan,FAQ,2581,2592,2592,13-May-25
1307,Ratlam,Jaora,Wheat,Lokwan,FAQ,2590,2590,2590,23-Jul-25
1308,Ratlam,Jaora,Wheat,Lokwan,FAQ,2592,2812,2786,06-Aug-24
1309,Ratlam,Jaora,Wheat,Lokwan,FAQ,2592,2911,2760,29-Jul-25
1310,Ratlam,Jaora,Wheat,Lokwan,FAQ,2600,2600,2600,27-Apr-24
1311,Ratlam,Jaora,Wheat,Lokwan,FAQ,2600,2600,2600,28-Mar-25
1312,Ratlam,Jaora,Wheat,Lokwan,FAQ,2600,2926,2800,16-Aug-24
1313,Ratlam,Jaora,Wheat,Lokwan,FAQ,2601,2921,2826,22-Aug-24
1314,Ratlam,Jaora,Wheat,Lokwan,FAQ,2601,2956,2760,22-Aug-25
1315,Ratlam,Jaora,Wheat,Lokwan,FAQ,2608,2608,2608,30-Jul-25
1316,Ratlam,Jaora,Wheat,Lokwan,FAQ,2610,3100,2750,31-Jul-25
1317,Ratlam,Jaora,Wheat,Lokwan,FAQ,2621,3095,3095,29-Aug-24
1318,Ratlam,Jaora,Wheat,Lokwan,FAQ,2631,2921,2700,09-Aug-24
1319,Ratlam,Jaora,Wheat,Lokwan,FAQ,2631,3051,2780,21-Aug-24
1320,Ratlam,Jaora,Wheat,Lokwan,FAQ,2646,2900,2813,20-Aug-24
1321,Ratlam,Jaora,Wheat,Lokwan,FAQ,2780,2820,2820,31-Jan-25
1322,Ratlam,Jaora,Wheat,Lokwan,FAQ,2891,2891,2891,05-Aug-25
1323,Ratlam,Jaora,Wheat,Lokwan,FAQ,2961,2961,2961,18-Aug-25
1324,Ratlam,Jaora,Wheat,Lokwan,FAQ,3219,3219,2701,06-Jan-24
1325,Ratlam,Jaora,Wheat,Lokwan,Non-FAQ,2500,2500,2500,10-May-25
1326,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2041,2651,2200,08-Apr-24
1327,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2060,2494,2400,18-Mar-24
1328,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2100,2901,2500,12-Mar-24
1329,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2139,2476,2380,20-Mar-24
1330,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2250,2250,2500,22-Feb-24
1331,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2260,2260,2400,27-Feb-24
1332,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2270,2476,2400,16-Mar-24
1333,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2280,2300,2390,29-Feb-24
1334,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2340,3200,2600,20-May-24
1335,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2346,2407,2407,21-Mar-24
1336,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2346,2560,2560,28-Apr-25
1337,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2355,2416,2404,02-Apr-24
1338,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2355,2428,2416,22-Mar-24
1339,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2361,2361,2350,01-Mar-24
1340,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2377,2438,2426,23-Mar-24
1341,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2381,2528,2861,15-Apr-24
1342,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2383,2476,2380,19-Mar-24
1343,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2386,2504,2500,14-Mar-24
1344,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2389,2446,2600,27-Mar-24
1345,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2389,2620,2450,26-Mar-24
1346,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2392,2392,2509,05-Apr-24
1347,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2394,2482,2519,15-Mar-24
1348,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2395,2409,2580,03-Apr-24
1349,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2397,2397,2397,25-Apr-25
1350,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2400,2400,2300,30-Mar-24
1351,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2400,2400,2315,31-Mar-24
1352,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2404,2524,2470,11-Mar-24
1353,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2410,3081,2580,17-May-24
1354,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2421,2433,2433,01-Apr-24
1355,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2424,2446,2700,04-Apr-24
1356,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2447,2447,2447,19-Apr-25
1357,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2449,2449,2449,03-Jul-25
1358,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2450,2450,2450,21-Mar-25
1359,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2450,2475,2475,04-Jun-25
1360,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2450,2489,2400,13-Mar-24
1361,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2451,2670,2650,14-Feb-24
1362,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2454,2518,2492,11-Mar-25
1363,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2471,2471,2500,31-May-24
1364,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2474,2499,2600,07-Mar-24
1365,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2497,2497,2497,13-Jun-25
1366,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2498,2498,2498,22-May-25
1367,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2499,2544,2577,09-Mar-24
1368,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2504,2504,2504,18-Jun-25
1369,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2510,2510,2510,23-Apr-25
1370,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2511,2536,2536,17-Mar-25
1371,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2520,2520,2520,11-Jul-25
1372,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2521,2521,2521,08-May-25
1373,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2521,2521,2521,19-Jul-25
1374,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2527,2890,2550,25-Apr-24
1375,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2535,2548,2548,13-Mar-25
1376,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2536,2536,2536,18-Mar-25
1377,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2539,2539,2539,12-Mar-25
1378,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2540,2540,2900,21-May-24
1379,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2541,2541,2541,05-Jun-25
1380,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2552,2552,2552,19-Sep-24
1381,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2565,2573,2573,23-May-25
1382,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2575,2575,2575,24-Jul-25
1383,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2580,2580,2400,04-May-24
1384,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2583,2583,2583,14-May-25
1385,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2611,2611,2611,23-Aug-24
1386,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2625,2625,2625,27-Aug-24
1387,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2628,2802,2802,15-Jul-24
1388,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2634,2634,2634,05-Mar-25
1389,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2678,2678,2678,04-Oct-24
1390,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2682,2885,2885,03-Aug-24
1391,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2690,2690,2690,20-Aug-25
1392,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2700,2700,2600,19-Feb-24
1393,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2730,2730,2730,28-Feb-25
1394,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2736,2736,2741,06-Jun-24
1395,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2751,2961,2961,27-Sep-24
1396,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2790,2790,2790,11-Jul-24
1397,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2812,2812,2800,19-Apr-24
1398,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2816,2816,2800,18-Apr-24
1399,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2906,2906,2850,01-Jul-24
1400,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2928,2928,2928,04-Dec-24
1401,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2946,2946,2946,10-Feb-25
1402,Ratlam,Jaora,Wheat,Mill Quality,FAQ,2966,2966,2966,03-Feb-25
1403,Ratlam,Jaora,Wheat,Mill Quality,FAQ,3074,3074,3074,23-Dec-24
1404,Ratlam,Jaora,Wheat,Mill Quality,FAQ,3096,3096,3096,15-Jan-25
1405,Ratlam,Jaora,Wheat,Mill Quality,FAQ,3144,3144,3144,16-Jan-25
1406,Ratlam,Jaora,Wheat,Mill Quality,FAQ,3241,3241,3241,27-Dec-24
1407,Ratlam,Jaora,Wheat,Mill Quality,FAQ,5871,5871,2600,02-May-24
1408,Ratlam,Jaora,Wheat,Mill Quality,FAQ,6450,6450,2801,18-Jun-24
1409,Ratlam,Jaora,Wheat,Mill Quality,FAQ,6499,6499,2590,27-May-24
1410,Ratlam,Jaora,Wheat,Mill Quality,Non-FAQ,1901,1901,1901,25-Jun-25
1411,Ratlam,Jaora,Wheat,Mill Quality,Non-FAQ,2001,2401,2401,26-Mar-25
1412,Ratlam,Jaora,Wheat,Mill Quality,Non-FAQ,2252,2420,2420,24-Mar-25
1413,Ratlam,Jaora,Wheat,Mill Quality,Non-FAQ,2300,2300,2300,23-Mar-25
1414,Ratlam,Jaora,Wheat,Mill Quality,Non-FAQ,2360,2490,2490,25-Mar-25
1415,Ratlam,Jaora,Wheat,Mill Quality,Non-FAQ,2361,2400,2366,20-Mar-25
1416,Ratlam,Jaora,Wheat,Mill Quality,Non-FAQ,2490,2490,2490,10-May-25
1417,Ratlam,Jaora,Wheat,Mill Quality,Non-FAQ,2500,2500,2500,05-May-25
1418,Ratlam,Jaora,Wheat,Mill Quality,Non-FAQ,2505,2505,2505,24-Apr-25
1419,Ratlam,Jaora,Wheat,Mill Quality,Non-FAQ,2650,2650,2650,21-Mar-25
1420,Ratlam,Jaora,Wheat,Mohan Mondal,FAQ,2442,2442,2442,22-Apr-25
1421,Ratlam,Jaora,Wheat,Mohan Mondal,FAQ,2810,2810,2810,21-Sep-24
1422,Ratlam,Jaora,Wheat,Other,FAQ,2100,2200,2421,28-Mar-24
1423,Ratlam,Jaora,Wheat,Other,FAQ,2115,2721,2400,18-Mar-24
1424,Ratlam,Jaora,Wheat,Other,FAQ,2150,2150,2416,22-Mar-24
1425,Ratlam,Jaora,Wheat,Other,FAQ,2150,2700,2380,19-Mar-24
1426,Ratlam,Jaora,Wheat,Other,FAQ,2180,2180,2550,25-Apr-24
1427,Ratlam,Jaora,Wheat,Other,FAQ,2210,2518,2380,20-Mar-24
1428,Ratlam,Jaora,Wheat,Other,FAQ,2251,2780,2550,20-Mar-25
1429,Ratlam,Jaora,Wheat,Other,FAQ,2261,3001,2700,04-Apr-24
1430,Ratlam,Jaora,Wheat,Other,FAQ,2270,2781,2631,15-Mar-25
1431,Ratlam,Jaora,Wheat,Other,FAQ,2300,2841,2861,15-Apr-24
1432,Ratlam,Jaora,Wheat,Other,FAQ,2351,2665,2518,17-Mar-25
1433,Ratlam,Jaora,Wheat,Other,FAQ,2399,2801,2450,26-Mar-24
1434,Ratlam,Jaora,Wheat,Other,FAQ,2400,2400,2400,12-Apr-25
1435,Ratlam,Jaora,Wheat,Other,FAQ,2400,2690,2500,31-May-24
1436,Ratlam,Jaora,Wheat,Other,FAQ,2485,2485,2580,03-Apr-24
1437,Ratlam,Jaora,Wheat,Other,FAQ,2510,2510,2510,22-Apr-25
1438,Ratlam,Jaora,Wheat,Other,FAQ,2542,2576,2500,12-Mar-24
1439,Ratlam,Jaora,Wheat,Other,FAQ,2711,2711,2711,13-Mar-25
1440,Ratlam,Jaora,Wheat,Wheat,FAQ,200,3145,2700,20-Aug-25
1441,Ratlam,Jaora,Wheat,Wheat,FAQ,1000,3250,2550,08-Apr-25
1442,Ratlam,Jaora,Wheat,Wheat,FAQ,1301,3390,2960,07-Oct-24
1443,Ratlam,Jaora,Wheat,Wheat,FAQ,1400,3124,3000,24-Jan-25
1444,Ratlam,Jaora,Wheat,Wheat,FAQ,1400,3300,2700,01-Mar-25
1445,Ratlam,Jaora,Wheat,Wheat,FAQ,1460,3181,2700,25-Aug-25
1446,Ratlam,Jaora,Wheat,Wheat,FAQ,1500,3050,2550,17-Jun-25
1447,Ratlam,Jaora,Wheat,Wheat,FAQ,1500,3201,2550,21-Apr-25
1448,Ratlam,Jaora,Wheat,Wheat,FAQ,1500,3240,3200,11-Feb-25
1449,Ratlam,Jaora,Wheat,Wheat,FAQ,1500,3561,2980,05-Dec-24
1450,Ratlam,Jaora,Wheat,Wheat,FAQ,1600,3181,2540,15-Apr-25
1451,Ratlam,Jaora,Wheat,Wheat,FAQ,1700,3281,2800,28-Feb-25
1452,Ratlam,Jaora,Wheat,Wheat,FAQ,1750,3260,2550,17-Mar-25
1453,Ratlam,Jaora,Wheat,Wheat,FAQ,1795,3100,2540,05-Jun-25
1454,Ratlam,Jaora,Wheat,Wheat,FAQ,1800,3300,2940,27-Feb-25
1455,Ratlam,Jaora,Wheat,Wheat,FAQ,1900,2860,2520,26-May-25
1456,Ratlam,Jaora,Wheat,Wheat,FAQ,1900,3050,2600,23-May-25
1457,Ratlam,Jaora,Wheat,Wheat,FAQ,1900,3200,2500,22-Apr-25
1458,Ratlam,Jaora,Wheat,Wheat,FAQ,1900,3440,2950,24-Oct-24
1459,Ratlam,Jaora,Wheat,Wheat,FAQ,1915,3199,2890,21-Aug-25
1460,Ratlam,Jaora,Wheat,Wheat,FAQ,1926,3221,2960,24-Feb-25
1461,Ratlam,Jaora,Wheat,Wheat,FAQ,1980,3250,2540,03-Apr-25
1462,Ratlam,Jaora,Wheat,Wheat,FAQ,2000,3150,2670,08-May-25
1463,Ratlam,Jaora,Wheat,Wheat,FAQ,2000,3175,2500,23-Apr-25
1464,Ratlam,Jaora,Wheat,Wheat,FAQ,2000,3185,2550,16-Apr-25
1465,Ratlam,Jaora,Wheat,Wheat,FAQ,2000,3231,2890,11-Sep-24
1466,Ratlam,Jaora,Wheat,Wheat,FAQ,2000,3330,3200,21-Feb-25
1467,Ratlam,Jaora,Wheat,Wheat,FAQ,2000,3361,2900,25-Sep-24
1468,Ratlam,Jaora,Wheat,Wheat,FAQ,2000,3431,2700,06-Mar-25
1469,Ratlam,Jaora,Wheat,Wheat,FAQ,2000,3451,2900,28-Nov-24
1470,Ratlam,Jaora,Wheat,Wheat,FAQ,2000,3600,2600,27-Mar-25
1471,Ratlam,Jaora,Wheat,Wheat,FAQ,2000,3623,3100,07-Dec-24
1472,Ratlam,Jaora,Wheat,Wheat,FAQ,2005,3399,2761,05-Sep-24
1473,Ratlam,Jaora,Wheat,Wheat,FAQ,2075,3567,2950,13-Nov-24
1474,Ratlam,Jaora,Wheat,Wheat,FAQ,2081,3240,2450,09-Apr-25
1475,Ratlam,Jaora,Wheat,Wheat,FAQ,2100,3191,2640,17-Jul-25
1476,Ratlam,Jaora,Wheat,Wheat,FAQ,2100,3311,2540,12-Jun-25
1477,Ratlam,Jaora,Wheat,Wheat,FAQ,2100,3352,2600,04-Mar-25
1478,Ratlam,Jaora,Wheat,Wheat,FAQ,2100,3406,2840,05-Mar-25
1479,Ratlam,Jaora,Wheat,Wheat,FAQ,2101,3177,2500,11-Mar-25
1480,Ratlam,Jaora,Wheat,Wheat,FAQ,2110,2290,2290,24-May-25
1481,Ratlam,Jaora,Wheat,Wheat,FAQ,2121,3301,2500,11-Apr-25
1482,Ratlam,Jaora,Wheat,Wheat,FAQ,2141,3370,2800,03-Mar-25
1483,Ratlam,Jaora,Wheat,Wheat,FAQ,2150,3151,2540,25-Apr-25
1484,Ratlam,Jaora,Wheat,Wheat,FAQ,2150,3151,2600,13-May-25
1485,Ratlam,Jaora,Wheat,Wheat,FAQ,2150,3280,2541,10-Mar-25
1486,Ratlam,Jaora,Wheat,Wheat,FAQ,2155,3150,2580,19-May-25
1487,Ratlam,Jaora,Wheat,Wheat,FAQ,2171,2963,2600,24-Jun-25
1488,Ratlam,Jaora,Wheat,Wheat,FAQ,2180,3461,3280,16-Jan-25
1489,Ratlam,Jaora,Wheat,Wheat,FAQ,2181,3050,2550,03-Jun-25
1490,Ratlam,Jaora,Wheat,Wheat,FAQ,2181,3300,2850,16-Oct-24
1491,Ratlam,Jaora,Wheat,Wheat,FAQ,2181,3561,2950,23-Oct-24
1492,Ratlam,Jaora,Wheat,Wheat,FAQ,2191,3050,2580,11-Jun-25
1493,Ratlam,Jaora,Wheat,Wheat,FAQ,2191,3181,2931,25-Nov-24
1494,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3050,2550,27-May-25
1495,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3066,2840,12-Sep-24
1496,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3070,2520,30-Jun-25
1497,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3090,2600,11-Jul-25
1498,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3115,2650,01-May-25
1499,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3140,2800,29-Jul-25
1500,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3151,2560,15-Jul-25
1501,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3216,2540,18-Mar-25
1502,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3220,2520,01-Jul-25
1503,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3300,2600,16-Jul-25
1504,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3331,3190,17-Jan-25
1505,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3360,2530,24-Mar-25
1506,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3375,2550,17-Apr-25
1507,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3381,3000,06-Nov-24
1508,Ratlam,Jaora,Wheat,Wheat,FAQ,2200,3520,2450,25-Mar-25
1509,Ratlam,Jaora,Wheat,Wheat,FAQ,2201,2960,2560,10-Jun-25
1510,Ratlam,Jaora,Wheat,Wheat,FAQ,2201,3041,2600,15-May-25
1511,Ratlam,Jaora,Wheat,Wheat,FAQ,2201,4121,2940,04-Nov-24
1512,Ratlam,Jaora,Wheat,Wheat,FAQ,2205,3333,3260,18-Feb-25
1513,Ratlam,Jaora,Wheat,Wheat,FAQ,2211,3166,2500,07-Apr-25
1514,Ratlam,Jaora,Wheat,Wheat,FAQ,2211,3411,2950,16-Nov-24
1515,Ratlam,Jaora,Wheat,Wheat,FAQ,2230,3201,2540,20-May-25
1516,Ratlam,Jaora,Wheat,Wheat,FAQ,2240,3000,2560,09-Jun-25
1517,Ratlam,Jaora,Wheat,Wheat,FAQ,2250,3061,2540,16-Jun-25
1518,Ratlam,Jaora,Wheat,Wheat,FAQ,2250,3065,2600,20-Jun-25
1519,Ratlam,Jaora,Wheat,Wheat,FAQ,2250,3100,2550,25-Jun-25
1520,Ratlam,Jaora,Wheat,Wheat,FAQ,2250,3351,2620,26-Jun-25
1521,Ratlam,Jaora,Wheat,Wheat,FAQ,2251,2859,2575,19-Jun-25
1522,Ratlam,Jaora,Wheat,Wheat,FAQ,2261,3460,2950,22-Oct-24
1523,Ratlam,Jaora,Wheat,Wheat,FAQ,2270,3274,2525,12-Mar-25
1524,Ratlam,Jaora,Wheat,Wheat,FAQ,2270,3421,2550,04-Apr-25
1525,Ratlam,Jaora,Wheat,Wheat,FAQ,2272,3250,2575,03-May-25
1526,Ratlam,Jaora,Wheat,Wheat,FAQ,2275,3375,2500,02-Apr-25
1527,Ratlam,Jaora,Wheat,Wheat,FAQ,2285,3121,2500,24-Apr-25
1528,Ratlam,Jaora,Wheat,Wheat,FAQ,2290,3076,2550,10-Jul-25
1529,Ratlam,Jaora,Wheat,Wheat,FAQ,2291,3480,3050,21-Nov-24
1530,Ratlam,Jaora,Wheat,Wheat,FAQ,2295,3291,2700,07-Aug-25
1531,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3041,2580,23-Jun-25
1532,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3061,2560,22-May-25
1533,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3150,2600,19-Apr-25
1534,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3150,2640,16-May-25
1535,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3160,2560,27-Jun-25
1536,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3161,2600,15-Mar-25
1537,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3165,2531,05-Jul-25
1538,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3175,2500,21-May-25
1539,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3180,2881,13-Aug-25
1540,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3199,2550,04-Jul-25
1541,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3240,2680,23-Jul-25
1542,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3267,2641,06-Aug-25
1543,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3275,2600,14-May-25
1544,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3279,2600,31-Mar-25
1545,Ratlam,Jaora,Wheat,Wheat,FAQ,2300,3481,2500,26-Mar-25
1546,Ratlam,Jaora,Wheat,Wheat,FAQ,2301,3303,2600,17-May-25
1547,Ratlam,Jaora,Wheat,Wheat,FAQ,2305,3441,2500,20-Mar-25
1548,Ratlam,Jaora,Wheat,Wheat,FAQ,2320,3150,2540,03-Jul-25
1549,Ratlam,Jaora,Wheat,Wheat,FAQ,2320,3231,2900,18-Nov-24
1550,Ratlam,Jaora,Wheat,Wheat,FAQ,2320,3251,2540,13-Mar-25
1551,Ratlam,Jaora,Wheat,Wheat,FAQ,2332,3381,2611,09-May-25
1552,Ratlam,Jaora,Wheat,Wheat,FAQ,2336,3050,2565,13-Jun-25
1553,Ratlam,Jaora,Wheat,Wheat,FAQ,2341,3099,2540,06-May-25
1554,Ratlam,Jaora,Wheat,Wheat,FAQ,2341,3175,2600,28-Apr-25
1555,Ratlam,Jaora,Wheat,Wheat,FAQ,2345,3172,2540,02-Jun-25
1556,Ratlam,Jaora,Wheat,Wheat,FAQ,2350,2975,2550,18-Jun-25
1557,Ratlam,Jaora,Wheat,Wheat,FAQ,2350,3140,2600,30-May-25
1558,Ratlam,Jaora,Wheat,Wheat,FAQ,2350,3160,2550,06-Jun-25
1559,Ratlam,Jaora,Wheat,Wheat,FAQ,2350,3181,2580,04-Jun-25
1560,Ratlam,Jaora,Wheat,Wheat,FAQ,2350,3181,2800,22-Jul-25
1561,Ratlam,Jaora,Wheat,Wheat,FAQ,2350,3550,2970,04-Dec-24
1562,Ratlam,Jaora,Wheat,Wheat,FAQ,2360,3025,2730,21-Jun-25
1563,Ratlam,Jaora,Wheat,Wheat,FAQ,2371,3380,3250,15-Feb-25
1564,Ratlam,Jaora,Wheat,Wheat,FAQ,2376,3175,2700,05-May-25
1565,Ratlam,Jaora,Wheat,Wheat,FAQ,2380,3020,2600,02-May-25
1566,Ratlam,Jaora,Wheat,Wheat,FAQ,2380,3100,2560,29-Apr-25
1567,Ratlam,Jaora,Wheat,Wheat,FAQ,2380,3240,2550,07-May-25
1568,Ratlam,Jaora,Wheat,Wheat,FAQ,2380,3276,2725,01-Aug-25
1569,Ratlam,Jaora,Wheat,Wheat,FAQ,2390,3510,2900,19-Oct-24
1570,Ratlam,Jaora,Wheat,Wheat,FAQ,2400,3121,2716,07-Aug-24
1571,Ratlam,Jaora,Wheat,Wheat,FAQ,2400,3171,2691,06-Aug-24
1572,Ratlam,Jaora,Wheat,Wheat,FAQ,2400,3260,3200,31-Dec-24
1573,Ratlam,Jaora,Wheat,Wheat,FAQ,2400,3270,2760,22-Aug-25
1574,Ratlam,Jaora,Wheat,Wheat,FAQ,2400,3390,2900,25-Feb-25
1575,Ratlam,Jaora,Wheat,Wheat,FAQ,2400,3491,3080,17-Dec-24
1576,Ratlam,Jaora,Wheat,Wheat,FAQ,2420,3140,2641,28-May-25
1577,Ratlam,Jaora,Wheat,Wheat,FAQ,2420,3370,2951,21-Oct-24
1578,Ratlam,Jaora,Wheat,Wheat,FAQ,2426,3099,2960,27-Jan-25
1579,Ratlam,Jaora,Wheat,Wheat,FAQ,2440,3075,2690,19-Jul-25
1580,Ratlam,Jaora,Wheat,Wheat,FAQ,2441,3180,2700,18-Jul-25
1581,Ratlam,Jaora,Wheat,Wheat,FAQ,2450,3097,2720,26-Aug-25
1582,Ratlam,Jaora,Wheat,Wheat,FAQ,2450,3247,2700,05-Aug-25
1583,Ratlam,Jaora,Wheat,Wheat,FAQ,2450,3270,2900,14-Oct-24
1584,Ratlam,Jaora,Wheat,Wheat,FAQ,2451,3370,2950,11-Nov-24
1585,Ratlam,Jaora,Wheat,Wheat,FAQ,2461,3275,3080,19-Dec-24
1586,Ratlam,Jaora,Wheat,Wheat,FAQ,2476,3300,2700,08-Aug-25
1587,Ratlam,Jaora,Wheat,Wheat,FAQ,2495,3361,2800,20-Sep-24
1588,Ratlam,Jaora,Wheat,Wheat,FAQ,2500,2500,2500,29-Mar-25
1589,Ratlam,Jaora,Wheat,Wheat,FAQ,2500,2540,2540,05-Apr-25
1590,Ratlam,Jaora,Wheat,Wheat,FAQ,2500,2770,2770,14-Aug-25
1591,Ratlam,Jaora,Wheat,Wheat,FAQ,2500,3081,2900,10-Sep-24
1592,Ratlam,Jaora,Wheat,Wheat,FAQ,2500,3161,2900,02-Sep-24
1593,Ratlam,Jaora,Wheat,Wheat,FAQ,2500,3250,2866,06-Sep-24
1594,Ratlam,Jaora,Wheat,Wheat,FAQ,2500,3299,2720,02-Aug-25
1595,Ratlam,Jaora,Wheat,Wheat,FAQ,2500,3299,2900,19-Aug-25
1596,Ratlam,Jaora,Wheat,Wheat,FAQ,2500,3331,2740,13-Aug-24
1597,Ratlam,Jaora,Wheat,Wheat,FAQ,2500,3571,2750,14-Aug-24
